date;puissance
2015-09-13T00:59:59+02:00;526.166666667
2015-09-13T01:59:59+02:00;495.0
2015-09-13T02:59:59+02:00;446.166666667
2015-09-13T03:59:59+02:00;365.833333333
2015-09-13T04:59:59+02:00;341.0
2015-09-13T05:59:59+02:00;352.333333333
2015-09-13T06:59:59+02:00;374.833333333
2015-09-13T07:59:59+02:00;459.166666667
2015-09-13T08:59:59+02:00;555.5
2015-09-13T09:59:59+02:00;684.166666667
2015-09-13T10:59:59+02:00;744.666666667
2015-09-13T11:59:59+02:00;748.0
2015-09-13T12:59:59+02:00;634.5
2015-09-13T13:59:59+02:00;615.166666667
2015-09-13T14:59:59+02:00;566.166666667
2015-09-13T15:59:59+02:00;507.666666667
2015-09-13T16:59:59+02:00;458.166666667
2015-09-13T17:59:59+02:00;490.833333333
2015-09-13T18:59:59+02:00;520.333333333
2015-09-13T19:59:59+02:00;545.666666667
2015-09-13T20:59:59+02:00;564.833333333
2015-09-13T21:59:59+02:00;688.666666667
2015-09-13T22:59:59+02:00;746.0
2015-09-13T23:59:59+02:00;612.5
2015-09-14T00:59:59+02:00;514.166666667
2015-09-14T01:59:59+02:00;411.833333333
2015-09-14T02:59:59+02:00;388.333333333
2015-09-14T03:59:59+02:00;362.333333333
2015-09-14T04:59:59+02:00;332.0
2015-09-14T05:59:59+02:00;329.0
2015-09-14T06:59:59+02:00;395.333333333
2015-09-14T07:59:59+02:00;478.333333333
2015-09-14T08:59:59+02:00;528.5
2015-09-14T09:59:59+02:00;589.666666667
2015-09-14T10:59:59+02:00;600.5
2015-09-14T11:59:59+02:00;605.0
2015-09-14T12:59:59+02:00;535.166666667
2015-09-14T13:59:59+02:00;503.333333333
2015-09-14T14:59:59+02:00;440.5
2015-09-14T15:59:59+02:00;455.333333333
2015-09-14T16:59:59+02:00;434.666666667
2015-09-14T17:59:59+02:00;474.666666667
2015-09-14T18:59:59+02:00;527.666666667
2015-09-14T19:59:59+02:00;541.333333333
2015-09-14T20:59:59+02:00;540.166666667
2015-09-14T21:59:59+02:00;669.0
2015-09-14T22:59:59+02:00;711.5
2015-09-14T23:59:59+02:00;566.0
2015-09-15T00:59:59+02:00;494.166666667
2015-09-15T01:59:59+02:00;439.166666667
2015-09-15T02:59:59+02:00;375.0
2015-09-15T03:59:59+02:00;374.666666667
2015-09-15T04:59:59+02:00;354.5
2015-09-15T05:59:59+02:00;357.833333333
2015-09-15T06:59:59+02:00;447.666666667
2015-09-15T07:59:59+02:00;516.666666667
2015-09-15T08:59:59+02:00;566.333333333
2015-09-15T09:59:59+02:00;596.5
2015-09-15T10:59:59+02:00;618.5
2015-09-15T11:59:59+02:00;586.166666667
2015-09-15T12:59:59+02:00;517.333333333
2015-09-15T13:59:59+02:00;480.833333333
2015-09-15T14:59:59+02:00;439.166666667
2015-09-15T15:59:59+02:00;462.0
2015-09-15T16:59:59+02:00;491.833333333
2015-09-15T17:59:59+02:00;533.833333333
2015-09-15T18:59:59+02:00;589.166666667
2015-09-15T19:59:59+02:00;587.5
2015-09-15T20:59:59+02:00;568.333333333
2015-09-15T21:59:59+02:00;702.666666667
2015-09-15T22:59:59+02:00;716.0
2015-09-15T23:59:59+02:00;575.833333333
2015-09-16T00:59:59+02:00;499.0
2015-09-16T01:59:59+02:00;439.833333333
2015-09-16T02:59:59+02:00;389.5
2015-09-16T03:59:59+02:00;368.166666667
2015-09-16T04:59:59+02:00;353.833333333
2015-09-16T05:59:59+02:00;370.166666667
2015-09-16T06:59:59+02:00;450.166666667
2015-09-16T07:59:59+02:00;539.0
2015-09-16T08:59:59+02:00;620.5
2015-09-16T09:59:59+02:00;615.5
2015-09-16T10:59:59+02:00;653.666666667
2015-09-16T11:59:59+02:00;651.333333333
2015-09-16T12:59:59+02:00;578.833333333
2015-09-16T13:59:59+02:00;580.666666667
2015-09-16T14:59:59+02:00;559.0
2015-09-16T15:59:59+02:00;524.166666667
2015-09-16T16:59:59+02:00;511.166666667
2015-09-16T17:59:59+02:00;543.666666667
2015-09-16T18:59:59+02:00;607.666666667
2015-09-16T19:59:59+02:00;589.166666667
2015-09-16T20:59:59+02:00;605.0
2015-09-16T21:59:59+02:00;728.5
2015-09-16T22:59:59+02:00;724.0
2015-09-16T23:59:59+02:00;596.333333333
2015-09-17T00:59:59+02:00;517.0
2015-09-17T01:59:59+02:00;442.333333333
2015-09-17T02:59:59+02:00;409.333333333
2015-09-17T03:59:59+02:00;393.0
2015-09-17T04:59:59+02:00;371.833333333
2015-09-17T05:59:59+02:00;378.5
2015-09-17T06:59:59+02:00;412.333333333
2015-09-17T07:59:59+02:00;529.166666667
2015-09-17T08:59:59+02:00;589.666666667
2015-09-17T09:59:59+02:00;620.833333333
2015-09-17T10:59:59+02:00;632.166666667
2015-09-17T11:59:59+02:00;598.166666667
2015-09-17T12:59:59+02:00;539.5
2015-09-17T13:59:59+02:00;491.833333333
2015-09-17T14:59:59+02:00;464.666666667
2015-09-17T15:59:59+02:00;447.5
2015-09-17T16:59:59+02:00;454.666666667
2015-09-17T17:59:59+02:00;504.666666667
2015-09-17T18:59:59+02:00;547.5
2015-09-17T19:59:59+02:00;537.833333333
2015-09-17T20:59:59+02:00;553.166666667
2015-09-17T21:59:59+02:00;690.0
2015-09-17T22:59:59+02:00;717.0
2015-09-17T23:59:59+02:00;576.833333333
2015-09-18T00:59:59+02:00;501.5
2015-09-18T01:59:59+02:00;412.833333333
2015-09-18T02:59:59+02:00;390.833333333
2015-09-18T03:59:59+02:00;374.333333333
2015-09-18T04:59:59+02:00;353.666666667
2015-09-18T05:59:59+02:00;369.833333333
2015-09-18T06:59:59+02:00;443.666666667
2015-09-18T07:59:59+02:00;479.166666667
2015-09-18T08:59:59+02:00;512.5
2015-09-18T09:59:59+02:00;548.333333333
2015-09-18T10:59:59+02:00;575.333333333
2015-09-18T11:59:59+02:00;570.333333333
2015-09-18T12:59:59+02:00;528.5
2015-09-18T13:59:59+02:00;494.333333333
2015-09-18T14:59:59+02:00;468.833333333
2015-09-18T15:59:59+02:00;443.666666667
